feature,dtype,count,null_count,null_pct,mean,std,min,max,median
unique_comment_ratio,float64,25993,0,0.00%,0.0,0.0,0.0,0.0,0.0
max_duplicate_count,float64,25993,0,0.00%,0.037086908013696,0.4368495129310454,0.0,22.0,0.0
total_duplicates,float64,25993,0,0.00%,0.07859808409956527,0.8322343657172455,0.0,34.0,0.0
circular_mean_hour,float64,25993,0,0.00%,-0.2593533749947305,3.1871431721171493,-14.186917993586583,9.813082006413417,0.0
mean_hour_deviance,float64,25993,0,0.00%,0.019290911996130547,0.6046481045601284,-1.9930014487146264,4.040325606761357,0.0
std_hour_deviance,float64,25993,0,0.00%,0.03531249331722523,0.55489428422037,-1.4740853652303274,5.098585324831663,0.0
commentCount,float64,25993,0,0.00%,0.32770361251106067,2.8177742132670165,-2.0,62.0,0.0
reply_count,float64,25993,0,0.00%,0.014925292386411727,0.04286011935597883,0.0,1.0,0.0
toplevel_count,float64,25993,0,0.00%,0.043200622979396315,0.04131673056271861,0.0,1.0,0.034482758620689655
reply_ratio,float64,25993,0,0.00%,0.009923006273028254,0.0348929811237608,0.0,1.0,0.0
